0,17
1,96
2,31
3,22
4,35
5,13
6,47
7,62
8,30
9,64
10,91
11,0
12,40
13,47
14,20
15,98
16,29
17,10
18,91
19,4
20,4
21,58
22,7
23,78
24,17
25,80
26,37
27,52
28,80
29,24
30,72
31,29
32,84
33,88
34,70
35,56
36,54
37,43
38,28
39,54
40,62
41,41
42,33
43,4
44,91
45,41
46,78
47,96
48,44
49,74
50,34
51,17
52,64
53,55
54,83
55,70
56,42
57,30
58,84
59,51
60,68
61,68
62,4
63,98
64,71
65,14
66,29
67,11
68,97
69,18
70,53
71,91
72,24
73,57
74,71
75,29
76,48
77,57
78,29
79,47
80,12
81,46
82,96
83,39
84,62
85,20
86,51
87,40
88,54
89,26
90,69
91,76
92,34
93,13
94,75
95,47
96,7
97,12
98,10
99,53
